periodo,anno,mes,venta_real,forecast,fc_lo,fc_hi,tipo
2022-03-01,2022,3,22814.62,,,,histórico
2022-04-01,2022,4,36232.87,,,,histórico
2022-05-01,2022,5,46570.29,,,,histórico
2022-06-01,2022,6,42278.28,,,,histórico
2022-07-01,2022,7,29454.02,,,,histórico
2022-08-01,2022,8,64073.96,,,,histórico
2022-09-01,2022,9,54834.69,,,,histórico
2022-10-01,2022,10,28853.49,,,,histórico
2022-11-01,2022,11,47025.84,,,,histórico
2022-12-01,2022,12,67180.56,,,,histórico
2023-01-01,2023,1,44871.97,,,,histórico
2023-02-01,2023,2,68326.71,,,,histórico
2023-03-01,2023,3,39063.55,,,,histórico
2023-04-01,2023,4,52930.06,,,,histórico
2023-05-01,2023,5,61431.73,,,,histórico
2023-06-01,2023,6,79555.84,,,,histórico
2023-07-01,2023,7,60549.35,,,,histórico
2023-08-01,2023,8,67729.93,,,,histórico
2023-09-01,2023,9,84916.34,,,,histórico
2023-10-01,2023,10,78663.62,,,,histórico
2023-11-01,2023,11,95090.74,,,,histórico
2023-12-01,2023,12,76538.57,,,,histórico
2024-01-01,2024,1,49737.88,,,,histórico
2024-02-01,2024,2,68354.22,,,,histórico
2024-03-01,2024,3,75865.26,,,,histórico
2024-04-01,2024,4,89989.53,,,,histórico
2024-05-01,2024,5,91242.01,,,,histórico
2024-06-01,2024,6,80277.78,,,,histórico
2024-07-01,2024,7,113097.06,,,,histórico
2024-08-01,2024,8,112284.78,,,,histórico
2024-09-01,2024,9,67891.87,,,,histórico
2024-10-01,2024,10,64767.14,,,,histórico
2024-11-01,2024,11,94804.88,,,,histórico
2024-12-01,2024,12,90459.69,,,,histórico
2025-01-01,2025,1,66676.47,,,,histórico
2025-02-01,2025,2,63136.07,,,,histórico
2025-03-01,2025,3,78671.49,,,,histórico
2025-04-01,2025,4,91076.21,,,,histórico
2025-05-01,2025,5,83613.66,,,,histórico
2025-06-01,2025,6,95628.17,,,,histórico
2025-07-01,2025,7,87579.65,,,,histórico
2025-08-01,2025,8,111183.82,,,,histórico
2025-09-01,2025,9,78963.26,,,,histórico
2025-10-01,2025,10,98691.83,,,,histórico
2025-11-01,2025,11,90459.44,,,,histórico
2025-12-01,2025,12,103587.12,,,,histórico
2026-01-01,2026,1,81651.89,,,,histórico
2026-02-01,2026,2,49368.73,,,,histórico
2026-03-01,2026,3,,69168.02,43792.84,95662.48,pronóstico
2026-04-01,2026,4,,72780.83,43440.53,103925.7,pronóstico
2026-05-01,2026,5,,73058.87,41394.67,106591.49,pronóstico
